Variable,Count
subnum,0
class,0
age,0
male,0
bmi,0
caucasian,7
aframer,7
asian,7
csamer,7
other,7
medhx_hbp,574
medhx_cad,594
medhx_heart_fail,591
medhx_stroke,585
medhx_ldl,622
medhx_dm,586
medhx_afib,818
loud_snore,540
gasping,557
choke,557
map_index,529
upper_face_depth,3
mid_face_depth,5
low_face_depth,1
max_depth_angle,7
mand_depth_angle,3
max_mand_rel_angle,5
facial_axis_angle,3
photo_upper_face_ht,2
nose_ht,6
photo_low_face_ht,4
mand_length,3
mand_length_dia,3
post_mand_ht,1
mand_plane_angle,2
photo_mand_angle,38
max_mand_box_area,5
cranial_base_tri_area,2
max_tri_area,4
mand_tri_area,0
mid_cran_fossa_vol,6
head_posit_angle,2
max_volume,7
mand_vol,0
max_mand_vol,7
ant_mand_ht,0
man_nas_ang,5
man_sub_ang,7
hea_inc_ang,3
cer_ang,275
face_width,0
mand_width,0
intercant_width,12
biocular_width,12
nose_width,1
lat_fac_ht,4
man_wid_len_ang,0
fac_wid_fac_dep_ang,4
fac_wid_low_fac_dep_ang,0
eye_width,12
face_eye_width,12
face_height_width,6
mand_width_length,3
face_upper_lower,6
face_height_depth,7
cranial_mand_area,2
face_nose_width,1
