Feature,p-value
age,2.526246043018418e-07
male,4.725039305816433e-32
bmi,9.26895861395075e-55
caucasian,0.9444805296640522
aframer,0.0024180828911961405
asian,1.2376875518567447e-14
csamer,3.2651346696419496e-20
other,0.03711467913841404
medhx_hbp,1.9025440678263766e-09
medhx_cad,0.006713491910043076
medhx_heart_fail,0.03416245512046408
medhx_stroke,0.576181328508927
medhx_ldl,0.0004690560148236361
medhx_dm,0.037919021101170666
medhx_afib,0.6321901502583569
loud_snore,1.3686009505576778e-39
gasping,1.703193675332009e-16
choke,6.761623291463323e-25
map_index,
upper_face_depth,
mid_face_depth,
low_face_depth,
max_depth_angle,
mand_depth_angle,
max_mand_rel_angle,
facial_axis_angle,
photo_upper_face_ht,
nose_ht,
photo_low_face_ht,
mand_length,
mand_length_dia,
post_mand_ht,
mand_plane_angle,
photo_mand_angle,
max_mand_box_area,
cranial_base_tri_area,
max_tri_area,
mand_tri_area,9.767640391854356e-41
mid_cran_fossa_vol,
head_posit_angle,
max_volume,
mand_vol,4.772606253632112e-40
max_mand_vol,
ant_mand_ht,9.88222571691613e-13
man_nas_ang,
man_sub_ang,
hea_inc_ang,
cer_ang,
face_width,6.081446048709619e-72
mand_width,4.4842774572123354e-73
intercant_width,
biocular_width,
nose_width,
lat_fac_ht,
man_wid_len_ang,1.383017539816138e-12
fac_wid_fac_dep_ang,
fac_wid_low_fac_dep_ang,0.002157565330999836
open_wid_tim_nph,
ver_mou_ope,
open_area_tim_nph,
tongue_width_tim_nph,
open_wid_f_te_m,
tongue_length_f,
tongue_width_f_te_m,
ton_are,
tongue_length_p_te_m,
tongue_area_p_te_m,
tongue_thickness_p_te_m,
tongue_curvature_p_te_m,
eye_width,
face_eye_width,
face_height_width,
mand_width_length,
face_upper_lower,
face_height_depth,
cranial_mand_area,
face_nose_width,
mal_score_ftem_c1,0.9022763958331547
mal_score_ftem_c2,0.00022931374762133805
mal_score_ftem_c3,0.0009187766013901377
mal_score_ftem_c4,2.3106369447049497e-06
mal_score_timnph_c1,0.20537460077260256
mal_score_timnph_c2,0.5226056360438769
mal_score_timnph_c3,0.948806064294558
mal_score_timnph_c4,0.27143954180130025
