Feature,p-value
age,9.94797716846189e-16
male,4.2996983090001647e-29
bmi,7.5267675235656955e-65
caucasian,0.1320251463353401
aframer,0.0006911472672774881
asian,9.035660447137974e-08
csamer,6.615137381947024e-19
other,0.1743721927314814
medhx_hbp,4.612389461269123e-13
medhx_cad,0.004800861830801815
medhx_heart_fail,0.06425140172194639
medhx_stroke,1.0
medhx_ldl,2.2532640202628412e-05
medhx_dm,8.293090807934432e-05
medhx_afib,0.8672063217491065
loud_snore,1.6773328056036254e-34
gasping,2.421607004080557e-13
choke,1.4612936278722054e-19
map_index,
