Feature,p-value
age,9.94797716846189e-16
male,4.2996983090001647e-29
bmi,7.5267675235656955e-65
caucasian,0.1320251463353401
aframer,0.0006911472672774881
asian,9.035660447137974e-08
csamer,6.615137381947024e-19
other,0.1743721927314814
medhx_hbp,4.612389461269123e-13
medhx_cad,0.004800861830801815
medhx_heart_fail,0.06425140172194639
medhx_stroke,1.0
medhx_ldl,2.2532640202628412e-05
medhx_dm,8.293090807934432e-05
medhx_afib,0.8672063217491065
loud_snore,1.6773328056036254e-34
gasping,2.421607004080557e-13
choke,1.4612936278722054e-19
map_index,
upper_face_depth,
mid_face_depth,
low_face_depth,
max_depth_angle,
mand_depth_angle,
max_mand_rel_angle,
facial_axis_angle,
photo_upper_face_ht,
nose_ht,
photo_low_face_ht,
mand_length,
mand_length_dia,
post_mand_ht,
mand_plane_angle,
photo_mand_angle,
max_mand_box_area,
cranial_base_tri_area,
max_tri_area,
mand_tri_area,3.891612502798805e-39
mid_cran_fossa_vol,
head_posit_angle,
max_volume,
mand_vol,5.937633713932885e-42
max_mand_vol,
ant_mand_ht,9.643717244164599e-11
man_nas_ang,
man_sub_ang,
hea_inc_ang,
cer_ang,
face_width,2.4690418371042707e-60
mand_width,5.024357219331639e-60
intercant_width,
biocular_width,
nose_width,
lat_fac_ht,
man_wid_len_ang,1.8114184600455596e-08
fac_wid_fac_dep_ang,
fac_wid_low_fac_dep_ang,0.123071569705544
eye_width,
face_eye_width,
face_height_width,
mand_width_length,
face_upper_lower,
face_height_depth,
cranial_mand_area,
face_nose_width,
