Feature,p-value
age,9.94797716846189e-16
male,4.2996983090001647e-29
bmi,7.5267675235656955e-65
caucasian,0.1320251463353401
aframer,0.0006911472672774881
asian,9.035660447137974e-08
csamer,6.615137381947024e-19
other,0.1743721927314814
medhx_hbp,4.612389461269123e-13
medhx_cad,0.004800861830801815
medhx_heart_fail,0.06425140172194639
medhx_stroke,1.0
medhx_ldl,2.2532640202628412e-05
medhx_dm,8.293090807934432e-05
medhx_afib,0.8672063217491065
loud_snore,1.6773328056036254e-34
gasping,2.421607004080557e-13
choke,1.4612936278722054e-19
map_index,
upper_face_depth,
mid_face_depth,
low_face_depth,
max_depth_angle,
mand_depth_angle,
max_mand_rel_angle,
facial_axis_angle,
photo_upper_face_ht,
nose_ht,
photo_low_face_ht,
mand_length,
mand_length_dia,
post_mand_ht,
mand_plane_angle,
photo_mand_angle,
max_mand_box_area,
cranial_base_tri_area,
max_tri_area,
mand_tri_area,3.891612502798805e-39
mid_cran_fossa_vol,
head_posit_angle,
max_volume,
mand_vol,5.937633713932885e-42
max_mand_vol,
ant_mand_ht,9.643717244164599e-11
man_nas_ang,
man_sub_ang,
hea_inc_ang,
cer_ang,
face_width,2.4690418371042707e-60
mand_width,5.024357219331639e-60
intercant_width,
biocular_width,
nose_width,
lat_fac_ht,
man_wid_len_ang,1.8114184600455596e-08
fac_wid_fac_dep_ang,
fac_wid_low_fac_dep_ang,0.123071569705544
open_wid_tim_nph,
ver_mou_ope,
open_area_tim_nph,
tongue_width_tim_nph,
open_wid_f_te_m,
tongue_length_f,
tongue_width_f_te_m,
ton_are,
tongue_length_p_te_m,
tongue_area_p_te_m,
tongue_thickness_p_te_m,
tongue_curvature_p_te_m,
eye_width,
face_eye_width,
face_height_width,
mand_width_length,
face_upper_lower,
face_height_depth,
cranial_mand_area,
face_nose_width,
mal_score_ftem_c1,0.9553815899455348
mal_score_ftem_c2,9.51229917726239e-05
mal_score_ftem_c3,0.029395506892825364
mal_score_ftem_c4,3.992776989865722e-05
mal_score_timnph_c1,0.022293051372611183
mal_score_timnph_c2,0.18209947493277862
mal_score_timnph_c3,0.6553604527211532
mal_score_timnph_c4,0.010110468684015023
