iter	Passed	Remaining
0	4	1645
1	9	1628
2	14	1619
3	19	1619
4	24	1627
5	30	1627
6	35	1624
7	39	1609
8	44	1598
9	49	1593
10	54	1589
11	59	1588
12	64	1582
13	69	1575
14	74	1566
15	79	1567
16	84	1559
17	89	1558
18	94	1559
19	99	1552
20	105	1555
21	110	1554
22	115	1546
23	120	1540
24	125	1535
25	130	1531
26	135	1527
27	140	1521
28	145	1516
29	150	1508
30	151	1466
31	156	1460
32	161	1457
33	166	1452
34	170	1446
35	175	1440
36	180	1436
37	186	1434
38	191	1431
39	196	1428
40	201	1425
41	206	1424
42	211	1418
43	216	1414
44	221	1410
45	226	1404
46	229	1385
47	234	1381
48	239	1377
49	244	1373
50	246	1351
51	251	1351
52	256	1346
53	261	1342
54	266	1338
55	271	1334
56	276	1331
57	282	1327
58	287	1323
59	291	1318
60	297	1314
61	302	1311
62	307	1306
63	311	1301
64	316	1297
65	322	1295
66	327	1290
67	332	1286
68	335	1273
69	340	1268
70	345	1264
71	350	1259
72	355	1254
73	359	1250
74	364	1245
75	369	1240
76	374	1234
77	379	1229
78	383	1224
79	388	1219
80	393	1214
81	395	1200
82	398	1189
83	402	1183
84	407	1178
85	412	1174
86	417	1170
87	422	1166
88	427	1161
89	432	1158
90	437	1153
91	442	1149
92	447	1144
93	452	1140
94	457	1137
95	462	1133
96	468	1129
97	473	1124
98	478	1121
99	483	1117
100	488	1113
101	493	1108
102	498	1103
103	503	1099
104	508	1095
105	513	1090
106	518	1085
107	523	1081
108	528	1076
109	533	1071
110	535	1061
111	540	1056
112	545	1052
113	550	1048
114	555	1044
115	561	1039
116	566	1035
117	570	1030
118	575	1025
119	583	1026
120	588	1022
