InstanceID,MaritalStatus,ApplicationMode,Course,DaytimeEveningAttendance,ApplicationOrder,PreviousQualification,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,PreviousQualificationGrade,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,International,AgeAtEnrollment,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Class
Student_00001,1,17,171,1,5,1,1,19,12,5,9,122.0,127.3,1,0,0,1,1,0,0,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Student_00002,1,15,9254,1,1,1,1,1,3,3,3,160.0,142.5,1,0,0,0,1,0,0,19,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,2
Student_00003,1,1,9070,1,5,1,1,37,37,9,9,122.0,124.8,1,0,0,0,1,0,0,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
Student_00004,1,17,9773,1,2,1,1,38,37,5,3,NA,119.6,1,0,0,1,0,0,0,20,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,2
Student_00005,2,39,NA,0,1,1,1,37,38,9,9,100.0,141.5,0,0,0,1,0,0,0,45,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,2
Student_00006,2,39,9991,0,1,19,1,37,37,9,7,133.1,114.8,0,0,1,1,1,0,0,50,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,2
Student_00007,1,1,9500,1,1,1,1,19,38,7,10,142.0,128.4,1,0,0,1,0,1,0,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,2
Student_00008,1,18,9254,1,4,1,1,37,37,9,9,119.0,113.1,1,0,0,0,1,0,0,22,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0
Student_00009,1,1,9238,1,3,1,62,1,1,9,9,137.0,129.3,0,0,0,1,0,1,1,21,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,2
Student_00010,1,1,9238,1,1,1,1,1,19,4,7,138.0,123.0,1,0,1,0,0,0,0,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0
Student_00011,1,1,9670,1,1,1,1,38,19,5,7,139.0,130.6,1,0,0,1,0,0,0,18,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,2
Student_00012,1,1,9500,1,1,1,1,19,38,9,9,136.0,119.3,1,0,0,1,0,1,0,18,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,2
Student_00013,1,1,9853,1,2,1,1,19,37,4,9,133.0,130.2,1,0,0,1,0,0,0,19,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,0
Student_00014,1,53,9254,1,1,42,1,1,1,4,7,110.0,111.8,1,0,0,1,NA,1,0,21,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,2
Student_00015,1,1,9085,1,1,1,1,38,37,5,5,149.0,137.1,1,0,0,1,0,1,0,18,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,2
Student_00016,1,1,9773,1,1,1,1,19,37,9,3,127.0,120.7,1,0,0,1,0,0,0,20,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,0
Student_00017,1,18,9238,1,1,1,1,19,38,5,8,137.0,137.4,1,0,0,1,0,0,0,18,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,1
Student_00018,1,17,9500,1,2,1,1,NA,1,5,4,135.0,127.3,1,0,0,1,0,0,0,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,2
Student_00019,1,1,9130,1,1,1,1,3,19,3,5,137.0,136.3,1,0,0,1,0,0,0,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,2
Student_00020,1,1,9853,1,1,1,1,19,19,7,7,140.0,124.6,1,0,0,1,0,0,0,18,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,1
Student_00021,1,1,171,1,3,1,1,1,1,9,8,122.0,120.3,0,0,0,1,0,1,0,21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,2
Student_00022,1,18,9556,1,4,1,1,1,38,4,7,127.0,121.8,1,0,0,1,0,0,0,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,1
Student_00023,1,1,9500,1,4,1,1,19,19,1,1,142.0,125.5,1,0,0,1,0,0,0,18,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,2
Student_00024,1,1,9670,1,4,1,1,1,38,4,7,125.0,114.9,1,0,0,1,0,1,0,19,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,2
Student_00025,1,1,9500,1,1,1,1,19,19,3,7,126.0,123.9,0,0,0,1,0,0,0,19,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,2
Student_00026,1,1,9238,1,1,1,1,19,38,9,9,151.0,157.0,1,0,1,1,0,1,0,18,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,1
Student_00027,1,17,NA,1,2,1,1,19,38,7,8,115.0,116.4,1,0,0,1,0,0,0,21,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,2
Student_00028,1,1,9085,1,1,1,1,19,19,3,3,138.0,131.0,1,0,0,1,0,0,0,18,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,1
Student_00029,1,1,9147,1,1,1,1,19,1,9,9,135.0,122.1,1,0,0,1,0,0,0,20,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,2
Student_00030,1,17,9500,1,2,1,1,3,3,1,10,127.0,118.8,1,0,0,NA,1,0,0,19,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,1
