InstanceID,Cylinders,Displacement,Horsepower,Weight,Acceleration,ModelYear,Origin,MPG
AutoMPG_0005,8,302,140,3449,10.5,70,1,17
AutoMPG_0007,8,454,220,4354,9,70,1,14
AutoMPG_0012,8,340,160,3609,8,70,1,14
AutoMPG_0025,6,199,90,2648,15,70,1,21
AutoMPG_0027,8,307,200,4376,15,70,1,10
AutoMPG_0030,4,97,88,2130,14.5,71,3,27
AutoMPG_0033,4,98,NA,2046,19,71,1,25
AutoMPG_0034,6,232,100,2634,13,71,1,19
AutoMPG_0036,6,250,100,3329,15.5,71,1,17
AutoMPG_0037,6,250,88,3302,15.5,71,1,19
AutoMPG_0039,8,350,165,4209,12,71,1,14
AutoMPG_0042,8,318,150,4096,13,71,1,14
AutoMPG_0054,4,71,65,1773,19,71,3,31
AutoMPG_0057,4,91,70,1955,20.5,71,1,26
AutoMPG_0067,8,304,150,3672,11.5,72,1,17
AutoMPG_0070,8,350,160,4456,13.5,72,1,12
AutoMPG_0083,4,120,97,2506,14.5,72,3,23
AutoMPG_0086,8,350,175,4100,13,73,1,13
AutoMPG_0089,8,302,137,4042,14.5,73,1,14
AutoMPG_0093,8,351,158,4363,13,73,1,13
AutoMPG_0102,6,198,95,2904,16,73,1,23
AutoMPG_0103,4,97,46,1950,21,73,2,26
AutoMPG_0105,8,400,167,4906,12.5,73,1,12
AutoMPG_0106,8,360,170,4654,13,73,1,13
AutoMPG_0138,8,350,150,4699,14.5,74,1,13
AutoMPG_0144,4,97,78,2300,14.5,74,2,26
AutoMPG_0145,4,76,52,1649,16.5,74,3,31
AutoMPG_0151,4,108,93,2391,15.5,74,3,26
AutoMPG_0159,8,318,150,4498,14.5,75,1,16
AutoMPG_0167,8,302,129,3169,12,75,1,13
AutoMPG_0170,6,232,100,2914,16,75,1,20
AutoMPG_0178,4,115,95,2694,15,75,2,23
AutoMPG_0184,4,116,81,2220,16.9,76,2,25
AutoMPG_0189,8,318,150,4190,13,76,1,16
AutoMPG_0190,8,304,120,3962,13.9,76,1,15.5
AutoMPG_0209,8,318,150,3940,13.2,76,1,13
AutoMPG_0214,8,350,145,4055,12,76,1,13
AutoMPG_0218,4,111,80,2155,14.8,77,1,30
AutoMPG_0223,8,260,110,4060,19,77,1,17
AutoMPG_0234,4,97,78,1940,14.5,77,2,29
AutoMPG_0240,4,97,67,1985,16.4,77,3,30
AutoMPG_0244,3,80,110,2720,13.5,77,3,21.5
AutoMPG_0247,4,78,52,1985,19.4,78,3,32.8
AutoMPG_0252,8,302,139,3570,12.8,78,1,20.2
AutoMPG_0257,6,225,100,3430,17.2,78,1,20.5
AutoMPG_0261,6,225,110,3620,18.7,78,1,18.6
AutoMPG_0263,8,305,145,3425,13.2,78,1,19.2
AutoMPG_0264,6,231,165,3445,13.4,78,1,17.7
AutoMPG_0266,8,318,140,4080,13.7,78,1,17.5
AutoMPG_0275,5,131,103,2830,15.9,78,2,20.3
AutoMPG_0282,6,200,85,2990,18.2,79,1,19.8
AutoMPG_0293,8,360,150,3940,13,79,1,18.5
AutoMPG_0295,4,86,65,1975,15.2,79,3,34.1
AutoMPG_0300,4,141,71,3190,24.8,79,2,27.2
AutoMPG_0301,8,260,90,3420,22.2,79,1,23.9
AutoMPG_0305,4,91,69,2130,14.7,79,2,37.3
AutoMPG_0310,4,98,76,2144,14.7,80,2,41.5
AutoMPG_0313,4,86,65,2019,16.4,80,3,37.2
AutoMPG_0316,4,151,90,3003,20.1,80,1,24.3
AutoMPG_0319,4,134,90,2711,15.5,80,3,29.8
AutoMPG_0321,4,119,92,2434,15,80,3,37
AutoMPG_0323,4,86,65,2110,17.9,80,3,46.6
AutoMPG_0325,4,85,65,2110,19.2,80,3,40.8
AutoMPG_0328,5,121,67,2950,19.9,80,2,36.4
AutoMPG_0329,4,146,67,3250,21.8,80,2,30
AutoMPG_0331,4,85,NA,1835,17.3,80,2,40.9
AutoMPG_0333,4,89,62,1845,15.3,80,2,29.8
AutoMPG_0345,4,86,64,1875,16.4,81,1,39
AutoMPG_0354,4,105,74,2190,14.2,81,2,33
AutoMPG_0356,4,107,75,2210,14.4,81,3,33.7
AutoMPG_0361,6,145,76,3160,19.6,81,2,30.7
AutoMPG_0372,4,135,84,2525,16,82,1,29
AutoMPG_0374,4,140,92,2865,16.4,82,1,24
AutoMPG_0376,4,105,74,1980,15.3,82,2,36
AutoMPG_0379,4,105,63,2125,14.7,82,1,38
AutoMPG_0382,4,107,75,2205,14.5,82,3,36
AutoMPG_0384,4,91,67,1965,15,82,3,38
AutoMPG_0386,4,91,67,1995,16.2,82,3,38
AutoMPG_0394,4,140,86,2790,15.6,82,1,27
AutoMPG_0396,4,135,84,2295,11.6,82,1,32
